0, 41.0, 182.0, 161.03333333333333, 40.670614562468685, 0:00:31.705626, [[5, 6, 9, 12, 29, 27, 26, 5, 42]]
1, 41.0, 185.0, 159.0, 43.52470562795344, 0:00:38.095147, [[5, 6, 9, 12, 29, 27, 26, 5, 42]]
2, 27.0, 183.0, 157.725, 46.122113730834144, 0:00:47.722159, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
3, 27.0, 184.0, 158.0222222222222, 47.44516783211213, 0:00:23.946905, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
4, 27.0, 186.0, 161.52, 45.33530191804171, 0:00:43.843412, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
5, 27.0, 186.0, 160.8909090909091, 46.39109347406033, 0:00:26.025515, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
6, 27.0, 184.0, 162.26666666666668, 44.77978214427675, 0:00:25.847332, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
7, 27.0, 184.0, 161.46153846153845, 45.45566797968426, 0:00:29.801190, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
8, 27.0, 185.0, 164.71428571428572, 42.052736570421, 0:00:30.310003, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
9, 27.0, 186.0, 168.10666666666665, 39.162762358592126, 0:00:30.955366, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
10, 27.0, 186.0, 170.125, 35.08574318722637, 0:00:39.964481, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
11, 27.0, 183.0, 168.51764705882354, 36.70858587328863, 0:00:49.249506, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
12, 27.0, 184.0, 170.74444444444444, 33.10104433099457, 0:00:39.685616, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
13, 27.0, 184.0, 169.62105263157895, 35.35509460716289, 0:00:42.494815, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
14, 27.0, 184.0, 171.61, 32.02152244975238, 0:00:43.476620, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
15, 27.0, 185.0, 170.64761904761906, 34.35029103706491, 0:00:47.677356, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
16, 27.0, 185.0, 169.6818181818182, 36.68042128690894, 0:00:48.924869, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
17, 27.0, 185.0, 172.3913043478261, 30.819162771737435, 0:00:50.257376, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
18, 27.0, 186.0, 173.04166666666666, 30.290096245399404, 0:00:57.468776, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
19, 27.0, 186.0, 172.632, 29.584194699197017, 0:00:56.114919, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
20, 27.0, 185.0, 172.7923076923077, 29.017420803013668, 0:01:07.275121, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
21, 27.0, 186.0, 172.06666666666666, 31.068907882914683, 0:01:14.732645, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
22, 27.0, 185.0, 171.06428571428572, 32.950874845157344, 0:01:11.536929, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
23, 27.0, 185.0, 173.64827586206897, 27.81702059815864, 0:01:11.478174, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
24, 27.0, 187.0, 173.97333333333333, 27.389035924780043, 0:01:10.999824, [[5, 6, 9, 10, 21, 29, 26, 5, 42]]
0, 55.0, 182.0, 168.17857142857142, 28.9729597721598, 0:00:18.861600, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
1, 55.0, 185.0, 170.2258064516129, 27.968541864513732, 0:00:28.109706, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
2, 55.0, 184.0, 169.41176470588235, 27.41416298521497, 0:00:16.414901, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
3, 55.0, 183.0, 167.72972972972974, 31.446779277916175, 0:00:18.925957, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
4, 55.0, 182.0, 169.9, 30.165211751287256, 0:00:22.406200, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
5, 55.0, 185.0, 171.2325581395349, 29.416683455973494, 0:00:20.300725, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
6, 55.0, 185.0, 171.1304347826087, 28.365325353671885, 0:00:18.469585, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
7, 55.0, 184.0, 171.3877551020408, 27.529439771708155, 0:00:25.788134, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
8, 55.0, 184.0, 169.65384615384616, 30.838215936240182, 0:00:22.108608, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
9, 55.0, 184.0, 169.94545454545454, 30.048698765847774, 0:00:24.317773, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
10, 55.0, 184.0, 168.68965517241378, 32.59321216436708, 0:00:27.273818, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
11, 55.0, 186.0, 173.0983606557377, 26.186409263192907, 0:10:23.711759, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
12, 55.0, 184.0, 171.515625, 29.432652035781196, 0:00:34.805459, [[36, 7, 1, 26, 25, 22, 32, 24, 8]]
