{'avg': 119.72, 'std': 19.900793954010979, 'min': 103.0, 'max': 161.0}
{'avg': 127.16, 'std': 24.02778391778984, 'min': 103.0, 'max': 168.0}
{'avg': 118.64, 'std': 20.87080257201433, 'min': 103.0, 'max': 160.0}
{'avg': 122.88, 'std': 27.073706801987793, 'min': 103.0, 'max': 185.0}
{'avg': 124.95999999999999, 'std': 26.235060510698275, 'min': 103.0, 'max': 172.0}
{'avg': 121.64, 'std': 26.266145510904337, 'min': 103.0, 'max': 175.0}
{'avg': 114.52, 'std': 19.089515446967219, 'min': 103.0, 'max': 170.0}
{'avg': 122.64, 'std': 24.647726061444292, 'min': 103.0, 'max': 180.0}
{'avg': 128.75999999999999, 'std': 26.842175768741253, 'min': 103.0, 'max': 175.0}
{'avg': 125.68000000000001, 'std': 24.225143962420535, 'min': 103.0, 'max': 164.0}
{'avg': 123.08, 'std': 24.803096580870704, 'min': 103.0, 'max': 172.0}
{'avg': 120.64, 'std': 22.30673440914201, 'min': 103.0, 'max': 183.0}
{'avg': 124.2, 'std': 28.029983945767786, 'min': 103.0, 'max': 187.0}
{'avg': 125.68000000000001, 'std': 24.414290896931657, 'min': 103.0, 'max': 173.0}
{'avg': 118.8, 'std': 18.682612237050794, 'min': 103.0, 'max': 159.0}
{'avg': 122.68000000000001, 'std': 23.716188563932445, 'min': 103.0, 'max': 177.0}
{'avg': 115.72, 'std': 21.41872078346417, 'min': 103.0, 'max': 164.0}
{'avg': 119.95999999999999, 'std': 22.482846794834501, 'min': 103.0, 'max': 179.0}
{'avg': 122.08, 'std': 22.60605228694298, 'min': 103.0, 'max': 180.0}
{'avg': 120.64, 'std': 25.078883547717989, 'min': 103.0, 'max': 180.0}
{'avg': 117.84, 'std': 22.39585675967767, 'min': 103.0, 'max': 170.0}
{'avg': 122.31999999999999, 'std': 23.538428154828011, 'min': 103.0, 'max': 167.0}
{'avg': 125.16, 'std': 26.218588825487917, 'min': 103.0, 'max': 178.0}
{'avg': 117.36, 'std': 23.187720888435759, 'min': 103.0, 'max': 176.0}
{'avg': 114.52, 'std': 19.141828543793824, 'min': 103.0, 'max': 166.0}
{'avg': 120.36, 'std': 24.227059252001677, 'min': 103.0, 'max': 184.0}
{'avg': 117.52, 'std': 21.266160913526448, 'min': 103.0, 'max': 175.0}
{'avg': 117.68000000000001, 'std': 20.328738278604504, 'min': 103.0, 'max': 165.0}
{'avg': 120.31999999999999, 'std': 22.82405748327847, 'min': 103.0, 'max': 176.0}
{'avg': 118.48, 'std': 22.002036269400158, 'min': 103.0, 'max': 162.0}
{'avg': 119.88, 'std': 22.984029237711997, 'min': 103.0, 'max': 179.0}
{'avg': 117.44, 'std': 20.016153476629817, 'min': 103.0, 'max': 175.0}
